File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
stm32f4xx_hal_tim.o,17.824726%,4556,0,4556,0,0,0
stm32f4xx_hal_uart.o,14.968701%,3826,0,3826,0,0,0
stm32f4xx_hal_rcc.o,10.352113%,2646,0,2646,0,0,0
bule_tooch.o,8.169014%,2088,132,2088,0,0,132
stm32f4xx_hal_dma.o,8.122066%,2076,0,2068,8,0,0
usart.o,6.032864%,1542,1056,1542,0,0,1056
tim.o,5.242567%,1340,360,1340,0,0,360
stm32f4xx_hal_gpio.o,3.896714%,996,0,996,0,0,0
stm32f4xx_it.o,3.693271%,944,8,944,0,0,8
interurp.o,3.615023%,924,116,924,0,0,116
mf_w.l,1.964006%,502,0,502,0,0,0
stm32f4xx_hal_cortex.o,1.885759%,482,0,482,0,0,0
startup_stm32f405xx.o,1.674491%,428,1024,36,392,0,1024
main.o,1.275430%,326,0,326,0,0,0
encode.o,1.259781%,322,216,106,0,216,0
stm32f4xx_hal_tim_ex.o,1.197183%,306,0,306,0,0,0
mc_w.l,1.150235%,294,0,294,0,0,0
stm32f4xx_hal.o,1.075900%,275,9,270,0,5,4
dmul.o,0.892019%,228,0,228,0,0,0
dma.o,0.868545%,222,0,222,0,0,0
gpio.o,0.774648%,198,0,198,0,0,0
control_car.o,0.762911%,195,97,194,0,1,96
depilogue.o,0.727700%,186,0,186,0,0,0
emm_v5.o,0.610329%,156,20,156,0,0,20
uldiv.o,0.383412%,98,0,98,0,0,0
stm32f4xx_hal_msp.o,0.289515%,74,0,74,0,0,0
dfixui.o,0.195618%,50,0,50,0,0,0
init.o,0.187793%,48,0,48,0,0,0
system_stm32f4xx.o,0.179969%,46,4,18,24,4,0
f2d.o,0.148670%,38,0,38,0,0,0
memseta.o,0.140845%,36,0,36,0,0,0
llushr.o,0.125196%,32,0,32,0,0,0
llshl.o,0.117371%,30,0,30,0,0,0
handlers.o,0.117371%,30,0,30,0,0,0
entry9a.o,0.031299%,8,0,8,0,0,0
entry2.o,0.031299%,8,0,8,0,0,0
entry5.o,0.015649%,4,0,4,0,0,0
