File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
usart.o,29.855810%,1056,1542,1542,0,0,1056
startup_stm32f405xx.o,28.951088%,1024,428,36,392,0,1024
encode.o,17.415890%,616,1030,814,0,216,400
tim.o,10.178117%,360,1340,1340,0,0,360
bule_tooch.o,3.845067%,136,2466,2456,10,0,136
control_car.o,3.336161%,118,947,946,0,1,117
interurp.o,3.279615%,116,808,808,0,0,116
usart_send_cloud.o,1.865988%,66,1504,1504,0,0,66
emm_v5.o,0.565451%,20,156,156,0,0,20
stm32f4xx_hal.o,0.254453%,9,275,270,0,5,4
stm32f4xx_it.o,0.226180%,8,944,944,0,0,8
system_stm32f4xx.o,0.113090%,4,46,18,24,4,0
bule_car_control.o,0.113090%,4,506,506,0,0,4
